segment,scoring_dates,avg_count,avg_sector_neutral_return_14d_after_cost,avg_daily_median_sector_neutral_return_14d_after_cost,avg_daily_winsorized_sector_neutral_return_14d_after_cost,hit_rate_sector_neutral_after_cost,avg_top5_positive_contribution_share
bottom_decile,7,51.0,-0.01418200294203087,-0.009929287824967213,-0.012868301261228288,0.38375350140056025,0.5363747724381097
top_25,7,25.0,0.05515971171060189,0.005549352129266701,0.05066658214970766,0.5142857142857143,0.7559820118526404
top_50,7,50.0,0.05506897727099348,0.00495281007076207,0.05011915999125349,0.5228571428571429,0.48774170964020974
top_decile,7,51.0,0.05498324449859814,0.009095434632886036,0.050054329696262966,0.5294117647058824,0.48032533506501157
