date,model_decile_top,count_top,avg_model_score_top,avg_stock_return_14d_top,median_stock_return_14d_top,avg_excess_vs_spy_14d_top,median_excess_vs_spy_14d_top,avg_sector_neutral_return_14d_after_cost_top,median_sector_neutral_return_14d_after_cost_top,winsorized_sector_neutral_return_14d_after_cost_top,hit_rate_vs_spy_top,hit_rate_sector_neutral_after_cost_top,top5_positive_contribution_share_top,model_decile_bottom,count_bottom,avg_model_score_bottom,avg_stock_return_14d_bottom,median_stock_return_14d_bottom,avg_excess_vs_spy_14d_bottom,median_excess_vs_spy_14d_bottom,avg_sector_neutral_return_14d_after_cost_bottom,median_sector_neutral_return_14d_after_cost_bottom,winsorized_sector_neutral_return_14d_after_cost_bottom,hit_rate_vs_spy_bottom,hit_rate_sector_neutral_after_cost_bottom,top5_positive_contribution_share_bottom,top_minus_bottom_sector_neutral_14d,top_minus_bottom_median_sector_neutral_14d,top_minus_bottom_excess_vs_spy_14d
2026-01-26,10,50,0.12536244094371796,-0.004823225400692958,-0.02675775906068284,0.013351036138484713,-0.008583497521505168,0.0017782712214265994,0.0071236360032509456,-0.0026400464619408016,0.46,0.52,0.5279568531247782,1,51,-0.23396237194538116,0.018799469542228286,0.05581728750386805,0.03697373108140596,0.07399154904304572,-0.01418838601918321,-0.007082893137400457,-0.010900687433821589,0.7254901960784313,0.47058823529411764,0.4533605598756819,0.01596665724060981,0.014206529140651403,-0.023622694942921248
2026-01-27,10,50,0.12750941514968872,-0.0015946126907993752,-0.015318176039970044,0.011534099610620501,-0.002189463738550168,0.0034062101790451214,0.0011249917593810237,-0.0018972454469479328,0.5,0.5,0.6060416534168048,1,51,-0.23396237194538116,0.025464252225145558,0.050454588125439015,0.03859296452656544,0.06358330042685889,-0.010383479332430733,-0.005195664985897684,-0.009343180668160879,0.7254901960784313,0.43137254901960786,0.494106080911745,0.013789689511475856,0.006320656745278708,-0.027058864915944936
2026-01-28,10,50,0.12446483969688416,0.0002491142340747077,-0.010049996459411958,0.014023585735014618,0.0037244750415279526,0.00820543535989169,-0.017847382444840743,0.00019514701481570417,0.52,0.46,0.6051436278347168,1,51,-0.23396237194538116,0.021393452692512884,0.04494123194444821,0.03516792419345279,0.05871570344538812,-0.011125178292057468,-0.005145140578499406,-0.009067896706073967,0.7254901960784313,0.47058823529411764,0.481724638873246,0.019330613651949158,-0.012702241866341337,-0.021144338458438175
2026-01-29,10,50,0.12201523780822754,0.04296871845196243,0.009544100055215998,0.046639308044119365,0.013214689647372935,0.03503939200508868,0.00015407062525002587,0.029201906933552926,0.56,0.5,0.5272976686655891,1,51,-0.23396237194538116,0.032047263436703693,0.04600547895317719,0.03571785302886063,0.04967606854533413,-0.00338303451367829,-0.006805056348409165,-0.006390014752778408,0.7058823529411765,0.43137254901960786,0.5730807838387134,0.03842242651876697,0.006959126973659191,0.010921455015258735
2026-01-30,10,50,0.12660221755504608,0.009095804866585334,-0.0058808710258544394,0.02781851239585297,0.012841836503413195,0.023040697096480073,-0.008087675582662488,0.019566207190104143,0.58,0.48,0.5402086278465631,1,51,-0.23396237194538116,0.019918760151843025,0.02928069463727323,0.03864146768111067,0.048003402166540865,-0.009452188204798713,-0.013078086034385481,-0.008535413176994437,0.7450980392156863,0.47058823529411764,0.4918423405609399,0.032492885301278786,0.004990410451722993,-0.010822955285257698
2026-02-02,10,50,0.12278218567371368,0.04958735805529633,0.0167766156636735,0.05274903457019351,0.019938292178570682,0.040828062583122327,0.006421606766575995,0.033076296846617274,0.54,0.52,0.5179417874678953,1,51,-0.23396237194538116,0.034774023753276054,0.04792848953134321,0.03793570026817324,0.05109016604624039,0.0002827248993832989,8.562999717615224e-05,-0.0023188807512069826,0.7058823529411765,0.5098039215686274,0.5120773104779951,0.040545337683739024,0.0063359767693998426,0.014813334302020267
2026-02-03,10,50,0.12479972094297409,0.08096158366898316,0.03612250766971281,0.07081853676629919,0.02597946076702884,0.05988245876077998,0.023086248364785067,0.05986191619323395,0.54,0.54,0.44184981509692,1,51,-0.23396237194538116,0.020116888567509098,0.029140333476594282,0.00997384166482513,0.01899728657391031,-0.010835190645539092,-0.006882299868184947,-0.014782377959376484,0.6078431372549019,0.49019607843137253,0.5324587343959443,0.07071764940631907,0.029968548232970016,0.06084469510147406
2026-02-04,10,50,0.1276998370885849,0.09835221989357062,0.07141857117999872,0.08111550446045893,0.05418185574688705,0.06675023862339108,0.04671595953322788,0.06658772837869424,0.68,0.68,0.355732164273393,1,51,-0.23396237194538116,0.03360110468114894,0.0380444249986327,0.016364389248037268,0.020807709565521026,-0.0074835878600644865,0.00033124184614358307,-0.010182403524669436,0.6470588235294118,0.5098039215686274,0.5635069011352318,0.07423382648345557,0.0463847176870843,0.06475111521242166
2026-02-05,10,50,0.1306559145450592,0.06330674847957092,0.05899979520003984,0.07001084177733859,0.0657038884978075,0.06173090633464412,0.05976383517191408,0.06281585466208432,0.7,0.7,0.33796568889609546,1,51,-0.23396237194538116,0.013617992922674231,0.021620607152589066,0.020322086220441897,0.028324700450356732,-0.012365786452679078,-0.0053903523265592095,-0.012197479780788183,0.6078431372549019,0.45098039215686275,0.4958267922030111,0.0740966927873232,0.06515418749847329,0.04968875555689669
2026-02-06,10,50,0.1303757131099701,0.038007108753849043,0.022073261088146445,0.04891566793663449,0.03298182027093188,0.04234984642462043,0.021200578907235257,0.04095360301371226,0.6,0.56,0.3859939513837828,1,51,-0.23396237194538116,0.025559868029624882,0.021839669849453403,0.03646842721241032,0.03274822903223884,-0.001098111710030153,-0.0025974394839506907,-0.0024215824412392515,0.7647058823529411,0.43137254901960786,0.537958594883031,0.043447958134650584,0.02379801839118595,0.012447240724224165
