offset,periods,start_date,end_date,avg_top_sector_neutral_return_14d_after_cost,median_top_sector_neutral_return_14d_after_cost,avg_top_minus_bottom_sector_neutral_14d,positive_spread_rate,max_drawdown_top_return_approx
0,1,2026-04-13,2026-04-13,0.04877617365844509,0.04877617365844509,0.05976837855584055,1.0,0.0
1,1,2026-04-14,2026-04-14,0.05573240742738175,0.05573240742738175,0.06434715465121857,1.0,0.0
2,1,2026-04-15,2026-04-15,0.050569521250755846,0.050569521250755846,0.06373336415162408,1.0,0.0
3,1,2026-04-16,2026-04-16,0.05056117534212706,0.05056117534212706,0.0633379539974091,1.0,0.0
4,1,2026-04-17,2026-04-17,0.05676879731524715,0.05676879731524715,0.0737022477166386,1.0,0.0
5,1,2026-04-20,2026-04-20,0.06628328140836504,0.06628328140836504,0.0876065408759961,1.0,0.0
6,1,2026-04-21,2026-04-21,0.05619135508786505,0.05619135508786505,0.07166109213567608,1.0,0.0
