date,symbol,sector,model_score,model_rank_on_date,forward_return_14d_next_close,excess_return_14d_next_close,sector_neutral_forward_return_14d_after_cost
2026-04-21,SATS,Communication Services,0.21667245,1,0.05737172472576013,0.01945047801959099,0.07300776722772778
2026-04-21,CIEN,Information Technology,0.21667245,2,0.15668281259814454,0.1187615658919754,0.04695331669897446
2026-04-21,STX,Information Technology,0.20549166,3,0.3947626683103256,0.35684142160415644,0.2850331724111555
2026-04-21,WDC,Information Technology,0.20233463,4,0.2560780842145536,0.21815683750838444,0.1463485883153835
2026-04-21,SNDK,Information Technology,0.20233463,5,0.48306046418436965,0.4451392174782005,0.37333096828519957
2026-04-21,MU,Information Technology,0.20233463,6,0.5725363087992201,0.534615062093051,0.46280681290005005
2026-04-21,LITE,Information Technology,0.20233463,7,0.1359546964863283,0.09803344978015915,0.026225200587158215
2026-04-21,COHR,Information Technology,0.19273265,8,0.06716697138965078,0.029245724683481633,-0.042562524509519306
2026-04-21,TER,Information Technology,0.18713088,9,-0.06939607709907591,-0.10731732380524506,-0.179125572998246
2026-04-21,HOOD,Financials,0.14945894,10,-0.11489317682965916,-0.1528144235358283,-0.10432657532678097
2026-04-21,AXON,Industrials,0.13758558,11,-0.023539601582659886,-0.06146084828882903,-0.044391875596407615
2026-04-21,SMCI,Information Technology,0.13336259,12,0.12371489282374148,0.08579364611757234,0.013985396924571404
2026-04-21,TTD,Communication Services,0.13258407,13,-0.10271647415748986,-0.140637720863659,-0.0870804316555222
2026-04-21,ALB,Materials,0.13172762,14,0.058181459070824504,0.02026021236465536,0.05070041435459577
2026-04-21,CSGP,Real Estate,0.1303983,16,-0.14753678496688538,-0.18545803167305452,-0.1748076724536775
2026-04-21,FDS,Financials,0.1303983,15,-0.11041530535997657,-0.1483365520661457,-0.09984870385709838
2026-04-21,GLW,Information Technology,0.12245586,17,0.17468601532298567,0.13676476861681652,0.06495651942381558
2026-04-21,COIN,Financials,0.12072333,18,0.006788178138071199,-0.031133068568097944,0.01735477964094939
2026-04-21,EL,Consumer Staples,0.113679774,19,0.10735710063117154,0.0694358539250024,0.07748051052357213
2026-04-21,BAX,Health Care,0.11160373,20,-0.022938289925959254,-0.0608595366321284,-0.020817585173823316
2026-04-21,APP,Information Technology,0.104581185,21,0.014430156725378174,-0.02349108998079097,-0.09529933917379191
2026-04-21,ARES,Financials,0.10380267,22,0.02156134278853017,-0.016359903917638974,0.03212794429140836
2026-04-21,CVNA,Consumer Discretionary,0.10229835,23,-0.11562177944151053,-0.15354302614767967,-0.11174046784640251
2026-04-21,EXPE,Consumer Discretionary,0.101040505,24,-0.16296299841772244,-0.20088424512389158,-0.15908168682261442
2026-04-21,NEM,Materials,0.09957633,25,0.07009391215234673,0.032172665446177584,0.06261286743611799
