date,model_decile,count,avg_model_score,avg_stock_return_14d,median_stock_return_14d,avg_excess_vs_spy_14d,median_excess_vs_spy_14d,avg_sector_neutral_return_14d_after_cost,median_sector_neutral_return_14d_after_cost,winsorized_sector_neutral_return_14d_after_cost,hit_rate_vs_spy,hit_rate_sector_neutral_after_cost,top5_positive_contribution_share
2026-01-22,1,51,-0.23396237194538116,0.024285529566681664,0.04898383847473142,0.03583452247958168,0.060532831387631436,-0.00011807705651502979,0.0009830018324584202,0.0021801684254201597,0.7058823529411765,0.5098039215686274,0.4605193373703133
2026-01-22,2,50,-0.23396238684654236,0.017508030656612116,0.04738898298273775,0.029057023569512133,0.05893797589563776,-0.008858420089955951,0.0025505310466796285,-0.008494511554404713,0.72,0.54,0.408092597268423
2026-01-22,3,50,-0.23396238684654236,0.02547552220617665,0.043236563492788926,0.037024515119076666,0.05478555640568894,0.004314826962671572,0.008422824593909696,0.001780651163859528,0.78,0.54,0.4916419440739277
2026-01-22,4,50,-0.23396238684654236,0.0236971784416676,0.04753031948688502,0.03524617135456761,0.05907931239978503,0.006126254051330204,0.0059246580398577015,0.006411598773288813,0.72,0.54,0.4100441861465015
2026-01-22,5,50,-0.22505775094032288,-0.007139504481705717,0.005800427046766976,0.004409488431194297,0.01734941995966699,-0.014073301401801758,0.00858066873147856,-0.011724374453119664,0.58,0.56,0.3600723086887213
2026-01-22,6,50,-0.20386241376399994,0.01602579670409868,0.026862431652694196,0.027574789616998694,0.03841142456559421,-0.001882517464753919,0.00031216609420797866,0.0004959227525699661,0.66,0.5,0.43167773707542434
2026-01-22,7,50,-0.19651800394058228,0.022092945017849985,0.038559513144235336,0.03364193793075,0.05010850605713535,0.006977720810897072,0.025631370845705492,0.0059504289372606,0.64,0.58,0.3829488038096595
2026-01-22,8,50,-0.1837327927350998,-0.03947138616098265,-0.013947336333373694,-0.027922393248082635,-0.002398343420473681,-0.03649385247798443,-0.020404113705941196,-0.04375221241141365,0.46,0.46,0.5477038029096483
2026-01-22,9,50,-0.06815504282712936,0.01177424441158209,0.016560954894699664,0.0233232373244821,0.028109947807599678,0.01382087642408275,0.013310214393307818,0.012356178594974036,0.64,0.52,0.43479686041872256
2026-01-22,10,50,0.1247759759426117,-0.008158712477819054,-0.03540082735575567,0.003390280435080959,-0.023851834442855657,0.00262208136767242,-0.023565237185843246,-0.0073443676471100176,0.48,0.48,0.46663873105773
2026-01-23,1,51,-0.23396237194538116,0.03142743984624017,0.05889872539840746,0.04727774026741647,0.07474902581958376,-0.00036492792429159386,0.0020407684006660833,0.0025037970961953844,0.7450980392156863,0.5490196078431373,0.3956701927539631
2026-01-23,2,50,-0.23396238684654236,0.031244072894269004,0.04763025056348058,0.04709437331544531,0.06348055098465688,-0.0009057200069359239,0.013900042494705058,0.0005520787451891584,0.84,0.52,0.35479706575984876
2026-01-23,3,50,-0.23396238684654236,0.023589219211244638,0.041811449507173304,0.03943951963242094,0.057661749928349604,-0.0044232074979356885,-0.007094772792763713,-0.005950055865558939,0.7,0.48,0.560423069909991
2026-01-23,4,50,-0.23396238684654236,0.029809562749159326,0.05191091582052065,0.04565986317033563,0.06776121624169695,0.008892844746224263,0.010444069862073526,0.008149588320737063,0.74,0.54,0.4248274120487921
2026-01-23,5,50,-0.22517715394496918,-0.011486686468932162,-0.004166507842525313,0.004363613952244138,0.011683792578650987,-0.023556050183295443,-0.00524361713859439,-0.022976063122785422,0.52,0.48,0.441471081038505
2026-01-23,6,50,-0.20381593704223633,0.031030994305439766,0.03585632749616763,0.04688129472661608,0.05170662791734393,0.009564140090429298,0.007036402951770661,0.012169234817562184,0.72,0.58,0.3578523164659942
2026-01-23,7,50,-0.19676850736141205,0.027440929150541162,0.04448314058447911,0.043291229571717466,0.06033344100565541,0.004396056457044315,0.03971194430491304,0.005069422890652883,0.72,0.6,0.382150658884103
2026-01-23,8,50,-0.18384486436843872,-0.0342670184894024,-0.03682341004949247,-0.018416718068226104,-0.020973109628316167,-0.025613158522828968,-0.02668065690151189,-0.03339719369360037,0.44,0.4,0.5550594126494599
2026-01-23,9,50,-0.07197030633687973,0.032898143984051095,0.041788200510245344,0.048748444405227395,0.05763850093142164,0.03163133796000974,0.025901228642056295,0.03068125386170956,0.76,0.58,0.3757649404433443
2026-01-23,10,50,0.12404262274503708,0.004606313575748405,0.004054920490991432,0.020456613996924708,0.01990522091216773,0.012307224079242642,0.0010069193652879633,0.006729654398195055,0.54,0.5,0.47944055849822675
2026-01-26,1,51,-0.23396237194538116,0.018799470216822906,0.05581728750386805,0.03697373175600058,0.07399154904304572,-0.01418838534458859,-0.007082893137400457,-0.01090068675922697,0.7254901960784313,0.47058823529411764,0.4533605782113357
2026-01-26,2,50,-0.23396238684654236,0.03716334587689441,0.058448813986457404,0.055337607416072083,0.07662307552563508,0.002143285085112545,0.002945427037048422,0.004443015341853671,0.82,0.52,0.3648150347152872
2026-01-26,3,50,-0.23396238684654236,0.021878521446238964,0.039456745642620805,0.04005278298541663,0.05763100718179848,-0.006033427295249903,-0.0063889810226521165,-0.007016341147081642,0.72,0.46,0.5811685952075071
2026-01-26,4,50,-0.23396238684654236,0.026474075862017162,0.03832491521907533,0.04464833740119484,0.056499176758253,-0.0006887772529328995,0.001491945748900604,-0.000738532213354238,0.78,0.5,0.5034516401753885
2026-01-26,5,50,-0.22504308819770813,0.0004377359009751602,0.01267421441894434,0.018611997440152833,0.030848475958122012,-0.008335083445637746,0.010371729705409118,-0.009937373753146007,0.6,0.54,0.41185649748960046
2026-01-26,6,50,-0.20404374599456787,0.032229489833603624,0.030044564948861097,0.050403751372781296,0.04821882648803877,0.005079487986722018,0.0016809222411567361,0.005160844399606944,0.78,0.52,0.4650684007376811
2026-01-26,7,50,-0.1964098960161209,0.01473220700136306,0.030152176389974583,0.03290646854054073,0.048326437929152255,0.006643053230001586,0.03749801323359303,0.0073562340641665745,0.68,0.62,0.34203729116357184
2026-01-26,8,50,-0.18340912461280823,-0.03285840960749603,-0.04659748695753063,-0.014684148068318357,-0.02842322541835296,-0.028062172278586237,-0.025168695552356846,-0.032456256926220874,0.46,0.4,0.5809235092340175
2026-01-26,9,50,-0.07396144419908524,0.0407283023706423,0.05973848676694171,0.05890256390981997,0.07791274830611938,0.04959802795727902,0.07137255530801917,0.05151119509451523,0.76,0.62,0.31504309859548896
2026-01-26,10,50,0.12536244094371796,-0.004823225400692958,-0.02675775906068284,0.013351036138484713,-0.008583497521505168,0.0017782712214265994,0.0071236360032509456,-0.0026400464619408016,0.46,0.52,0.5279568531247782
2026-01-27,1,51,-0.23396237194538116,0.025464252278923055,0.050454588125439015,0.038592964580342934,0.06358330042685889,-0.010383479278653235,-0.005195664985897684,-0.009343180614383382,0.7254901960784313,0.43137254901960786,0.494106080911745
2026-01-27,2,50,-0.23396238684654236,0.0288688561942792,0.04348670273604305,0.04199756849569908,0.056615415037462924,-0.00872301465946636,-0.00026396769433983816,-0.008737858738406675,0.78,0.48,0.3979687229958234
2026-01-27,3,50,-0.23396238684654236,0.0333687003649099,0.05324999615625048,0.04649741266632978,0.06637870845767035,-0.00043673809143049305,-0.0014604449341703558,-0.0008386686860704907,0.76,0.5,0.4702669219300871
2026-01-27,4,50,-0.23396238684654236,0.03188725597427508,0.047250319142556174,0.04501596827569496,0.06037903144397605,0.002518598944143033,0.0051380649107254945,0.0021116672581956942,0.74,0.52,0.4597089613461598
2026-01-27,5,50,-0.2252439558506012,0.006349036987178207,0.021143990657360834,0.019477749288598082,0.03427270295878071,-0.009806395999233124,-0.00922355371997968,-0.010449037503537626,0.56,0.42,0.4624620674428589
2026-01-27,6,50,-0.20407328009605408,0.03593321271256847,0.048707200238119586,0.04906192501398835,0.06183591253953946,0.003257832553242419,0.002580398255045692,0.004293963303002421,0.74,0.52,0.44020744135939516
2026-01-27,7,50,-0.1960315853357315,0.043611181016186135,0.06967542111914438,0.056739893317606004,0.08280413342056425,0.0319608766006131,0.041834995762631666,0.03216477087631749,0.72,0.7,0.30802189294831084
2026-01-27,8,50,-0.1833299696445465,0.002747265905187453,-0.00231158637906409,0.015875978206607327,0.010817125922355786,-0.0046291609258295695,-0.0014391323811946395,-0.01115138636035218,0.56,0.5,0.5439684820213929
