model_decile,scoring_dates,avg_count,avg_model_score,avg_stock_return_14d,avg_daily_median_stock_return_14d,avg_excess_vs_spy_14d,avg_daily_median_excess_vs_spy_14d,avg_sector_neutral_return_14d_after_cost,avg_daily_median_sector_neutral_return_14d_after_cost,avg_daily_winsorized_sector_neutral_return_14d_after_cost,hit_rate_vs_spy,hit_rate_sector_neutral_after_cost,avg_top5_positive_contribution_share
10,7,51.0,0.11217295804194041,0.09705424935701601,0.038933222402747214,0.058094472220562285,-2.6554733706512274e-05,0.05498324449859814,0.009095434632886036,0.050054329696262966,0.5014005602240896,0.5294117647058824,0.48032533506501157
9,7,50.0,-0.03168817370065621,0.0019766665975399877,-0.018555293344671635,-0.03698311053891374,-0.05751507048112536,-0.03881969059016432,-0.04213055515952313,-0.043058216893125396,0.3028571428571429,0.2857142857142857,0.7470693504603736
8,7,50.0,-0.17136520785944803,-0.01817140651284272,-0.026610881953262673,-0.057131183649296445,-0.0655706590897164,-0.05382692878170784,-0.060172453334017384,-0.05387601657583656,0.3171428571428571,0.3028571428571429,0.5914351734447847
7,7,50.0,-0.19482171748365676,0.002267339012829876,-0.004304956606351273,-0.03669243812362385,-0.043264733742805,-0.024187050020676382,-0.02938845483307825,-0.022491985685676542,0.37142857142857144,0.3657142857142857,0.5618515460865086
6,7,50.0,-0.2044548520020076,0.020379290797833374,0.011095344493660413,-0.01858048633862035,-0.027864432642793313,0.0021234318458151344,-0.007803060235586109,0.00024677535990448487,0.37714285714285717,0.47714285714285715,0.4966120408112032
5,7,50.0,-0.22317630691187723,-0.015237441597928036,-0.020893831507825027,-0.05419721873438176,-0.05985360864427875,-0.02038582100935423,-0.02218971374677801,-0.02092509532073094,0.18857142857142858,0.32857142857142857,0.674344310961699
4,7,50.0,-0.23378677027566092,-0.012576249542886709,-0.0071556574335486555,-0.05153602667934044,-0.04611543457000238,-0.018139324695458283,-0.014106331354156215,-0.018461742785861508,0.18857142857142858,0.4028571428571429,0.5707252488404776
3,7,50.0,-0.23396238684654236,0.002313420668048047,-0.007599829830415484,-0.03664635646840568,-0.04655960696686921,-0.005272967321170707,-0.006696443018365376,-0.010473555695179645,0.17714285714285713,0.4257142857142857,0.6715254594403396
2,7,50.0,-0.23396238684654236,-0.007564572053922821,-0.008778725822809854,-0.046524349190376554,-0.04773850295926358,-0.009883816058337727,-0.009332590240279895,-0.011071278221934386,0.1742857142857143,0.38,0.6425136027488971
1,7,51.0,-0.23396237194538116,-0.012211307147596872,-0.012261087480517479,-0.051171084284050594,-0.05122086461697121,-0.01418200294203087,-0.009929287824967213,-0.012868301261228288,0.17086834733893558,0.38375350140056025,0.5363747724381097
