date,model_decile,count,avg_model_score,avg_stock_return_14d,median_stock_return_14d,avg_excess_vs_spy_14d,median_excess_vs_spy_14d,avg_sector_neutral_return_14d_after_cost,median_sector_neutral_return_14d_after_cost,winsorized_sector_neutral_return_14d_after_cost,hit_rate_vs_spy,hit_rate_sector_neutral_after_cost,top5_positive_contribution_share
2026-04-13,1,51,-0.23396237194538116,-0.008308976925531814,-0.011153256862825867,-0.04222019866306773,-0.04506447860036178,-0.010992204897395464,-0.00978771111867288,-0.01107553410857268,0.17647058823529413,0.39215686274509803,0.5797768664700116
2026-04-13,2,50,-0.23396238684654236,-0.009012528240652226,-0.003989263543358712,-0.042923749978188146,-0.037900485280894625,-0.008662253144391053,-0.005740234889470728,-0.008758375179590409,0.16,0.44,0.6156448040247909
2026-04-13,3,50,-0.23396238684654236,-0.004211592106995443,-0.005193786765181396,-0.03812281384453135,-0.03910500850271731,-0.01001207707773447,-0.006848521615971935,-0.011236047920556618,0.22,0.42,0.6369064150561793
2026-04-13,4,50,-0.23396238684654236,-0.013608685649640654,-0.006457342944113931,-0.04751990738717657,-0.04036856468164984,-0.01653255354685829,-0.013810676087852745,-0.019214245939697987,0.24,0.4,0.5733264577002004
2026-04-13,5,50,-0.22358760237693787,-0.011235690561056444,-0.014062639468456817,-0.04514691229859236,-0.04797386120599273,-0.013190187585648964,-0.01741157005481553,-0.01589365766278583,0.26,0.38,0.5602290623837134
2026-04-13,6,50,-0.20454207062721252,0.02665954869977548,0.014848528888850132,-0.007251673037760431,-0.01906269284868578,0.010735321261493982,0.0004163852813369186,0.008225081838906644,0.44,0.52,0.49291234168520703
2026-04-13,7,50,-0.1944170445203781,-0.0003544749807165726,0.0002707421861932735,-0.034265696718252484,-0.03364047955134264,-0.020132769502622973,-0.03332304559559007,-0.021427717958036694,0.4,0.4,0.5389591960118048
2026-04-13,8,50,-0.1672200709581375,0.003873564662628071,0.001161169886629676,-0.03003765707490784,-0.03275005185090624,-0.02266773225826238,-0.02160451983318079,-0.019898245466834462,0.42,0.38,0.4511205793019632
2026-04-13,9,50,-0.02973741851747036,0.008844757147497351,-0.0017627128048604557,-0.025066464590038563,-0.03567393454239637,-0.02059577937923267,-0.03231625136192745,-0.022896514011984268,0.4,0.38,0.5889099132008144
2026-04-13,10,51,0.11677687615156174,0.08296770374414257,0.0525492965193195,0.049056482006606665,0.018638074781783587,0.04877617365844509,0.01608364372425647,0.044168541474439896,0.5686274509803921,0.5490196078431373,0.4230509154652819
2026-04-14,1,51,-0.23396237194538116,-0.000932069300659919,-0.00302999601192544,-0.03497786895023569,-0.03707579566150121,-0.00861474722383681,-0.011603700093480938,-0.008715478960568523,0.19607843137254902,0.43137254901960786,0.49247764600535043
2026-04-14,2,50,-0.23396238684654236,-0.008028501032139484,-0.002505946022574257,-0.042074300681715256,-0.03655174567215003,-0.015067658901336673,-0.010466575650148966,-0.014800407548320446,0.18,0.34,0.6668954361892991
2026-04-14,3,50,-0.23396238684654236,0.007769756185443089,0.005438540720454466,-0.026276043464132676,-0.028607258929121304,-0.0034194921366537943,-0.0009434387207647428,-0.007931442560462324,0.2,0.5,0.611096398221801
2026-04-14,4,50,-0.23362091183662415,-0.00318532383427369,0.0038118205141256523,-0.037231123483849465,-0.030233979135450118,-0.011510515777433884,-0.009863273031189999,-0.01187728652012765,0.24,0.48,0.5694676452767472
2026-04-14,5,50,-0.2225426286458969,0.0024290852180211477,-0.004973502857220702,-0.031616714431554616,-0.03901930250679647,-0.008327392579047473,-0.01414127724920977,-0.007783057425721054,0.28,0.38,0.6081761333936374
2026-04-14,6,50,-0.2046695351600647,0.02907279252346156,0.0063234599766135435,-0.004973007126114213,-0.027722339672962226,0.01223496256598548,0.0015874287650460297,0.010151802900665238,0.4,0.52,0.5170066701424071
2026-04-14,7,50,-0.19405002892017365,0.022870966443766107,0.012212425602459609,-0.01117483320580966,-0.02183337404711616,-0.0030756362763761902,-0.013936886048645512,-0.00323694330180139,0.42,0.44,0.5084861471875654
2026-04-14,8,50,-0.16701169312000275,-0.011449330014093276,-0.013657300742104472,-0.045495129663669046,-0.04770310039168024,-0.04568635600503086,-0.05444629605095885,-0.0446513412902474,0.34,0.32,0.5753146944427854
2026-04-14,9,50,-0.030524013563990593,0.009083948227393208,-0.009338266541042861,-0.02496185142218256,-0.04338406619061863,-0.029981976398220107,-0.05264143819852496,-0.03288028883301079,0.38,0.28,0.6676366838294179
2026-04-14,10,51,0.11659056693315506,0.09424785551881215,0.0314881740541928,0.060202055869236396,-0.002557625595382973,0.05573240742738175,0.019061087967484014,0.05245182053396397,0.49019607843137253,0.5294117647058824,0.4648105949484869
2026-04-15,1,51,-0.23396237194538116,-0.003292765982758673,-0.012169652926717123,-0.049141246980100514,-0.05801813392405897,-0.013163842900868234,-0.007836635499202714,-0.013375944960388813,0.1568627450980392,0.27450980392156865,0.5880953144870067
2026-04-15,2,50,-0.23396238684654236,0.001369617712991904,-0.004850490290772336,-0.04447886328434994,-0.05069897128811418,-0.010036316166173185,-0.010316174269919097,-0.010770664152509277,0.22,0.3,0.6778444550850943
2026-04-15,3,50,-0.23396238684654236,0.008966521753836807,0.008969975858803103,-0.036881959243505034,-0.03687850513853874,-0.004081158977069406,-0.0026309197371029423,-0.009691873513070106,0.14,0.44,0.6700388198328884
2026-04-15,4,50,-0.23375749588012695,-0.003235057465723874,0.0021358172393837194,-0.049083538463065714,-0.043712663757958126,-0.01958590022380996,-0.014578270642573332,-0.01992556908367303,0.18,0.38,0.6085753345887711
2026-04-15,5,50,-0.22302931547164917,0.0007473814408301105,-0.006221198258048177,-0.04510109955651174,-0.05206967925539002,-0.015025846918431576,-0.01745441331877834,-0.016850914021452824,0.22,0.42,0.5753600544002878
2026-04-15,6,50,-0.2046695351600647,0.04193135225124392,0.04106985635254612,-0.00391712874609792,-0.004778624644795726,0.010310150476984102,0.0027386908074334432,0.008669986150022744,0.44,0.52,0.4811782722840617
2026-04-15,7,50,-0.19459444284439087,0.018673467319224438,0.005170084413871456,-0.027175013678117407,-0.04067839658347039,-0.01865774541447701,-0.014267268953639776,-0.018604392841068306,0.3,0.32,0.5970024574036451
2026-04-15,8,50,-0.16937407851219177,-0.007011656464812182,-0.012598619618468865,-0.05286013746215403,-0.05844710061581071,-0.054285854469517544,-0.062036829947255956,-0.052792366077286886,0.3,0.34,0.5640334302775903
2026-04-15,9,50,-0.030347643420100212,0.010210167447120786,-0.017455683177563353,-0.03563831355022106,-0.0633041641749052,-0.038502034534454596,-0.03944198615194572,-0.04174058173587019,0.3,0.26,0.7817769199394633
2026-04-15,10,51,0.11452716588973999,0.10076324741557315,0.045255785283425665,0.0549147664182313,-0.0005926957139161804,0.050569521250755846,0.0006480176883801327,0.04885243222733406,0.49019607843137253,0.5098039215686274,0.46271657535174526
2026-04-16,1,51,-0.23396237194538116,-0.02146374740246832,-0.021433739324148826,-0.05165498011594999,-0.0516249720376305,-0.012776778655282033,-0.007583758899257718,-0.010803585837555326,0.1568627450980392,0.39215686274509803,0.5224705099290132
2026-04-16,2,50,-0.23396238684654236,-0.010342249006836952,-0.015011496363874721,-0.040533481720318634,-0.045202729077356396,-0.0049195861140924136,-0.006263116211954576,-0.00596952626373137,0.14,0.42,0.62086496175966
2026-04-16,3,50,-0.23396238684654236,-0.005163817629832748,-0.01553682511530552,-0.035355050343314424,-0.045728057828787194,-0.001684374860122555,-0.0060472287184050715,-0.007791550758159469,0.14,0.4,0.7205002490722432
